Business Name,Account Name,DoorDash Store ID,National Store ID
QSR Executive Enterprises,QSR Executive Enterprises - 35900 Center Ridge,2110169,34162
QSR Executive Enterprises,QSR Executive Enterprises - 4204 Milan Rd,23000302,32777
QSR Executive Enterprises,QSR Executive Enterprises - 1725 Henderson Dr,686933,24316
Big Gee Ent LLC,Big Gee Ent LLC - 517 S White Horse Pike,657157,1447
Big Gee Ent LLC,Big Gee Ent LLC - 5801 NJ-42,946258,2401
Big Gee Ent LLC,Big Gee Ent LLC - 900 West Ave,659406,4592
Big Gee Ent LLC,Big Gee Ent LLC - 10 S Black Horse Pike,946269,4884
Big Gee Ent LLC,Big Gee Ent LLC - 3501 Black Horse Pike,946236,12008
Big Gee Ent LLC,Big Gee Ent LLC - 444 N Broad St,946241,18170
Big Gee Ent LLC,Big Gee Ent LLC - 118 Trenton Rd,1544237,21452
Big Gee Ent LLC,Big Gee Ent LLC - 582 Cross Keys Rd,946252,18576
Big Gee Ent LLC,Big Gee Ent LLC - 102 E Main St,1544219,22137
P.R. Pernecky Management,P.R. Pernecky Management - 799 N Lake Ave,659888,804
P.R. Pernecky Management,P.R. Pernecky Management - 4947 Huntington Dr N,656518,4310
P.R. Pernecky Management,P.R. Pernecky Management - 716 Fair Oaks Ave,657082,942
P.R. Pernecky Management,P.R. Pernecky Management - 720 San Gabriel Blvd,656457,11375
P.R. Pernecky Management,P.R. Pernecky Management - 2157 Lincoln Ave,656474,11949
P.R. Pernecky Management,P.R. Pernecky Management - 6910 Rosemead Blvd,657765,13304
P.R. Pernecky Management,P.R. Pernecky Management - 1320 E Colorado Blvd,694398,15449
P.R. Pernecky Management,P.R. Pernecky Management - 8548 Valley Blvd,656507,25534
P.R. Pernecky Management,P.R. Pernecky Management - 1835 E Route 66,656511,17547
P.R. Pernecky Management,P.R. Pernecky Management - 5008 N Figueroa St,658728,26929
P.R. Pernecky Management,P.R. Pernecky Management - 2310 W Commonwealth Ave,662305,34882
Wiseman LLC,Wiseman LLC - 2824 28th St SE,657751,1312
Wiseman LLC,Wiseman LLC - 6095 Kalamazoo Ave SE,655819,11505
Wiseman LLC,Wiseman LLC - 1700 44th St SE,658837,3003
Wiseman LLC,Wiseman LLC - 5631 Byron Center Ave SW,659015,33312
Wiseman LLC,Wiseman LLC - 2626 84th St SW,694570,22695
Wiseman LLC,Wiseman LLC - 2980 44th St SW,659197,36302
"West Mount 23719, LLC","West Mount 23719, LLC - 10411 N Fwy",505344,13627
"West Mount 23719, LLC","West Mount 23719, LLC - 6031 N Fwy",647807,25486
"West Mount 23719, LLC","West Mount 23719, LLC - 1819 West Mount Houston Rd",647795,23719
"West Mount 23719, LLC","West Mount 23719, LLC - 7518 N Fwy",647812,26080
"West Mount 23719, LLC","West Mount 23719, LLC - 10912 Fry Rd",647867,35729
"West Mount 23719, LLC","West Mount 23719, LLC - 9715 Barker Cypress Rd",647873,36342
Ricely Group,Ricely Group - 6409 W Bluemound Rd,2631815,6445
Ricely Group,Ricely Group - 1575 W Washington Street,24575666,6507
Ricely Group,Ricely Group - 7501 W Rawson Ave,24575626,10283
Ricely Group,Ricely Group - 1931 S 14th street,24575642,38415
Ricely Group,Ricely Group - 6631 W North Ave,2633556,1935
L3 Restaurants Inc,L3 Restaurants Inc - 2000 NE 3rd Street Suite 100,1102215,2633
L3 Restaurants Inc,L3 Restaurants Inc - 1151 SE 3rd Street,655644,11041
L3 Restaurants Inc,L3 Restaurants Inc - 220 SW Century Drive,1102231,26936
L3 Restaurants Inc,L3 Restaurants Inc - 2630 NE HWY 20,1102150,12712
L3 Restaurants Inc,L3 Restaurants Inc - 16505 Reed Road,2377932,30524
L3 Restaurants Inc,L3 Restaurants Inc - 1001 Rail Way,24510603,31120
Knoth Management Group,Knoth Management Group - 2400 N Main St,1160043,7465
Knoth Management Group,Knoth Management Group - 162 North Rd SE,2664004,10840
Knoth Management Group,Knoth Management Group - 595 South St SE,1159715,10879
O'Keefe Family McDonald's,O'Keefe Family McDonald's - 1 E North Ave,659518,53
O'Keefe Family McDonald's,O'Keefe Family McDonald's - 1912 E Higgins Rd,24122880,302
O'Keefe Family McDonald's,O'Keefe Family McDonald's - 190 E Butterfield Rd,655941,6243
O'Keefe Family McDonald's,O'Keefe Family McDonald's - 10 Biesterfield Rd,656318,10353
O'Keefe Family McDonald's,O'Keefe Family McDonald's - 1335 N County Farm Rd,653606,11341
O'Keefe Family McDonald's,O'Keefe Family McDonald's - 947 Meacham Rd,659277,38520
Upchurch Management ,Upchurch Management - 1352 E Commercial Blvd,684427,681
Upchurch Management ,Upchurch Management - 3091 N Federal Hwy,677517,1013
Upchurch Management ,Upchurch Management - 2025 E Atlantic Blvd,685073,1585
Upchurch Management ,Upchurch Management - 1490 N University Dr,685633,1868
Upchurch Management ,Upchurch Management - 2700 N Federal Hwy,680386,2011
Upchurch Management ,Upchurch Management - 4398 N State Road 7,680368,2533
Upchurch Management ,Upchurch Management - 1810 S Federal Hwy,687543,3482
Upchurch Management ,Upchurch Management - 2140 N Federal Highway,684468,2565
Upchurch Management ,Upchurch Management - 630 W Sample Road,685069,4112
Upchurch Management ,Upchurch Management - 7600 NW 57th Street,684472,3555
Upchurch Management ,Upchurch Management - 300 W Hillsboro Blvd,684918,6653
Upchurch Management ,Upchurch Management - 929 NW 62nd St,687850,5002
Upchurch Management ,Upchurch Management - 7520 Southgate Blvd,684457,5990
Upchurch Management ,Upchurch Management - 3073 W Oakland Park Blvd,684443,7732
Upchurch Management ,Upchurch Management - 950 W Commercial Blvd,684429,6712
Upchurch Management ,Upchurch Management - 2300 West Sunrise Blvd,684444,7158
Upchurch Management ,Upchurch Management - 6360 N Federal Hwy,688121,7253
Upchurch Management ,Upchurch Management - 4301 N Pine Island Rd,680307,10397
Upchurch Management ,Upchurch Management - 5367 W Atlantic Blvd,684491,10671
Upchurch Management ,Upchurch Management - 1799 N Congress Ave,686273,10881
Upchurch Management ,Upchurch Management - 7200 W McNab Rd,684476,12885
Upchurch Management ,Upchurch Management - 4032 N Ocean Blvd,680384,13565
Upchurch Management ,Upchurch Management - 5510 West Oakland Pk Blvd,680392,22008
Upchurch Management ,Upchurch Management - 27 West Broward Blvd,684559,16832
Upchurch Management ,Upchurch Management - 10901 W Oakland Park Blvd,680394,17009
Upchurch Management ,Upchurch Management - 1 SW 26th Ave,684906,24106
Upchurch Management ,Upchurch Management - 320 NW 24th Street,684917,24636
Upchurch Management ,Upchurch Management - 1776 N Military Trail,684904,29261
Upchurch Management ,Upchurch Management - 9220 W Commercial Blvd,684455,27555
Upchurch Management ,Upchurch Management - 2351 Palm Avenue,684546,32379
Upchurch Management ,Upchurch Management - 1490 NW 31st Ave,685071,36313
"LAZ II, Inc","LAZ II, Inc - 805 E. Jefferson St",24508284,2381
"LAZ II, Inc","LAZ II, Inc - 4705 E. 10th St",2400162,6096
"LAZ II, Inc","LAZ II, Inc - 1720 S. Memorial Dr",2400535,2692
"LAZ II, Inc","LAZ II, Inc - 1015 S. Peru St",2400648,15567
"LAZ II, Inc","LAZ II, Inc - 201 E. Lincoln Rd",2399997,11269
"LAZ II, Inc","LAZ II, Inc - 17650 Village Center Dr",2401263,31734
"LAZ II, Inc","LAZ II, Inc - 945 Tournament Trail",2400443,37453
Marks Management ,Marks Management - Nu,694960,3500
Marks Management ,Marks Management - 302 Hwy 90,786414,6170
Marks Management ,Marks Management - 3313 Monroe Hwy,694110,10119
Marks Management ,Marks Management - 17634 Hwy 90,24508144,20714
Marks Management ,Marks Management - 2551 Lafitte Larose Hwy,658077,22533
Marks Management ,Marks Management - 2999 Grandpoint Hwy,862451,26613
Marks Management ,Marks Management - 1681 Barataria Blvd,658813,29195
Marks Management ,Marks Management - 3201 Louisiana Ave,659117,34842
Mao Enterprises LLC,Mao Enterprises LLC - 350 E St Charles Rd,655934,78
Mao Enterprises LLC,Mao Enterprises LLC - 215 E North Ave,654257,12638
Mao Enterprises LLC,Mao Enterprises LLC - 1576 N Rand Rd,657052,3755
Mao Enterprises LLC,Mao Enterprises LLC - 8327 W North Ave,654323,7450
Mao Enterprises LLC,Mao Enterprises LLC - 7455 Barrington Rd,658130,23208
"Divine Favor, LLC","Divine Favor, LLC - 2001 Alabam Ave",23015273,6538
"Divine Favor, LLC","Divine Favor, LLC - 1963 Pleasant Hill Rd",685540,8000
"Divine Favor, LLC","Divine Favor, LLC - 116 Carrollton Villa Rica Hwy",23015221,11247
"Divine Favor, LLC","Divine Favor, LLC - 1650 Indian Trail Lilburn RD NW",684545,11911
"Divine Favor, LLC","Divine Favor, LLC - 10975 State Bridge Rd",685532,12408
Kipco Restaurants LLC,Kipco Restaurants LLC - 4010 W 211th St,653647,1152
Kipco Restaurants LLC,Kipco Restaurants LLC - 100 Sauk Trail Rd,657905,1924
Kipco Restaurants LLC,Kipco Restaurants LLC - 1152 State St,659500,5254
Kipco Restaurants LLC,Kipco Restaurants LLC - 2400 Lincoln Hwy,662129,10743
Kipco Restaurants LLC,Kipco Restaurants LLC - 4855 Sauk Trail Rd,653660,11603
Kipco Restaurants LLC,Kipco Restaurants LLC - 1350 Steger Rd,701506,12102
Kipco Restaurants LLC,Kipco Restaurants LLC - 915 Joliet Rd,658146,23476
Kipco Restaurants LLC,Kipco Restaurants LLC - 700 E Tri State I-294,694737,28956
Kipco Restaurants LLC,Kipco Restaurants LLC - 11111 W 179th St,657012,35844
Kipco Restaurants LLC,Kipco Restaurants LLC - 9101 Kingery Hwy,720447,39051
Kipco Restaurants LLC,Kipco Restaurants LLC - 14298 S Bell Rd,653893,13574
Grayco Mgt,Grayco Mgt - 792 N 2nd St,25044832,595
Grayco Mgt,Grayco Mgt - 2612 Franklin Pike,679476,1421
Grayco Mgt,Grayco Mgt - 4041 Nolensville Rd,685752,1422
Grayco Mgt,Grayco Mgt - 3470 Lebanon Pike,686892,2338
Grayco Mgt,Grayco Mgt - 906 Rivergate Pkwy,694583,2356
Grayco Mgt,Grayco Mgt - 4110 Hillsboro Rd,679533,2414
Grayco Mgt,Grayco Mgt - 7100 Hwy 70 S,685756,2755
Grayco Mgt,Grayco Mgt - 154 McGavock Pike,680388,3114
Grayco Mgt,Grayco Mgt - 705 S Cumberland Ave,687435,3274
Grayco Mgt,Grayco Mgt - 6600 Charlotte Pike,679535,3305
Grayco Mgt,Grayco Mgt - 2806 Gallatin Pike,679532,3402
Grayco Mgt,Grayco Mgt - 2700 West End Ave,679529,3803
Grayco Mgt,Grayco Mgt - 1012 S Gallatin Rd,685135,4770
Grayco Mgt,Grayco Mgt - 2311 Brick Church Pike,684628,6094
Grayco Mgt,Grayco Mgt - 4700 Charlotte Ave,687989,6112
Grayco Mgt,Grayco Mgt - 3300 Dickerson Rd,684621,6125
Grayco Mgt,Grayco Mgt - 1201 Broadway,688065,6781
Grayco Mgt,Grayco Mgt - 331 Harding Pl,684617,6897
Grayco Mgt,Grayco Mgt - 545 Donelson Pike,684418,7397
Grayco Mgt,Grayco Mgt - 2212 Nolensville Rd,677499,10050
Grayco Mgt,Grayco Mgt - 5744 Nolensville Rd,680142,10598
Grayco Mgt,Grayco Mgt - 4734 Lebanon Pike,694186,11109
Grayco Mgt,Grayco Mgt - 201 Rudy Cir,684634,11612
Grayco Mgt,Grayco Mgt - 1420 W Main St,686392,11786
Grayco Mgt,Grayco Mgt - 126 N Mt Juliet Rd,686461,12644
Grayco Mgt,Grayco Mgt - 255 S Main St,24661300,12876
Grayco Mgt,Grayco Mgt - 1252 Robinson Rd,685768,13956
Grayco Mgt,Grayco Mgt - 801 Vantage Way Ct,679531,14646
Grayco Mgt,Grayco Mgt - 6451 Eatons Creek Rd,24655482,19062
Grayco Mgt,Grayco Mgt - 11279 Lebanon Rd,686757,19398
Grayco Mgt,Grayco Mgt - 320 Hwy 109 N,694578,23398
Grayco Mgt,Grayco Mgt - 2233 Fairview Blvd,23701157,23803
Grayco Mgt,Grayco Mgt - 5800 Old Hickory Blvd,684978,24038
Grayco Mgt,Grayco Mgt - 5878 Hopkinsville Pike,2297300,24284
Grayco Mgt,Grayco Mgt - 101 Auburn St,1286121,26081
Grayco Mgt,Grayco Mgt - 8190 Pembroke Oak Grove,25070220,27884
Grayco Mgt,Grayco Mgt - 1003 Village Plains Blvd,1102267,28072
Grayco Mgt,Grayco Mgt - 8050 Hwy 100,694814,31433
Grayco Mgt,Grayco Mgt - 625 S Mt Juliet Rd,687508,34290
Grayco Mgt,Grayco Mgt - 2285 Trenton Rd,28834090,40445
Grayco Mgt,Grayco Mgt - 1503 Woodward Ave,678856,678
Grayco Mgt,Grayco Mgt - 15254 Hwy 43,786468,6564
Grayco Mgt,Grayco Mgt - 4201 Jackson Hwy,678863,7603
Grayco Mgt,Grayco Mgt - 412 Hwy 43 S,694587,23606
Grayco Mgt,Grayco Mgt - 2048 Hwy 20,695044,37623
DMD Restaurants,DMD Restaurants - 321 West Trenton Ave,659930,925
DMD Restaurants,DMD Restaurants - 6606 New Fall Road,659289,3922
DMD Restaurants,DMD Restaurants - 950 Second Street Pike,659492,5242
DMD Restaurants,DMD Restaurants - 4272 County Line Road,655874,11608
Alamo Family LLC,Alamo Family LLC - 3760 William Penn Hwy,2601637,1741
Alamo Family LLC,Alamo Family LLC - 937 N Center St,1179489,2858
Alamo Family LLC,Alamo Family LLC - 421 W Main St,687137,2891
Alamo Family LLC,Alamo Family LLC - 845 Rostraver Rd,695100,4429
Alamo Family LLC,Alamo Family LLC - 3820 William Penn Hwy,24941763,5072
Alamo Family LLC,Alamo Family LLC - 301 W Main St,695194,5433
Alamo Family LLC,Alamo Family LLC - 705 Memorial Blvd,695465,7247
Alamo Family LLC,Alamo Family LLC - 318 Mc Kean Ave,677500,10064
Alamo Family LLC,Alamo Family LLC - 115 Logans Ferry Rd,2496264,11293
Alamo Family LLC,Alamo Family LLC - 110 Mountain Laurel Plaza,694265,12137
Alamo Family LLC,Alamo Family LLC - 70 Allegheny River Blvd,2496503,12415
Alamo Family LLC,Alamo Family LLC - 1758 N Center Ave,1179284,16375
Alamo Family LLC,Alamo Family LLC - 185 Wilson Rd,694440,17107
Alamo Family LLC,Alamo Family LLC - 102 Roberts Rd,694453,17447
Alamo Family LLC,Alamo Family LLC - 1 Work Pkwy,686685,17771
Alamo Family LLC,Alamo Family LLC - 2014 Lincoln Ave,786388,17808
Alamo Family LLC,Alamo Family LLC - 575 Morgantown Street,686781,20302
Alamo Family LLC,Alamo Family LLC - 3 Fayette St,694700,27302
Alamo Family LLC,Alamo Family LLC - 3612 State Route 31,24508148,28718
Alamo Family LLC,Alamo Family LLC - 4317 Northern Pike,2496846,4121
Alamo Family LLC,Alamo Family LLC - 7276 Mason Dixon Highway,31752210,43128
Bican Family Restaurants Inc,Bican Family Restaurants Inc - 416 N Michigan St,655822,493
Bican Family Restaurants Inc,Bican Family Restaurants Inc - 2001 S Michigan St,655827,574
Bican Family Restaurants Inc,Bican Family Restaurants Inc - 5021 Western Ave,655825,3206
